"old_key","new_key","scope","source_de","source_en","windows_key_match_or_empty"
"video_overlay_desc","VIDEO_OVERLAY_DESC","one","Projektdaten und Schäden ins Video einblenden","Show project data and damages in video",""
"video_processing_message","VIDEO_PROCESSING_MESSAGE","one","Overlay wird ins Video eingebrannt...","Burning overlay into video...",""
"video_processing_title","VIDEO_PROCESSING_TITLE","one","Video wird verarbeitet","Processing video",""
"video_quality","VIDEO_QUALITY","one","Videoqualität","Video Quality",""
"video_quality_hd","VIDEO_QUALITY_HD","one","HD (High Definition)","HD (High Definition)",""
"video_quality_sd","VIDEO_QUALITY_SD","one","SD (Standard)","SD (Standard)",""
"video_recording","VIDEO_RECORDING","one","Videoaufzeichnung","Video recording",""
"video_settings","VIDEO_SETTINGS","one","Video-Einstellungen","Video Settings",""
"visual","VISUAL","one","Visuell","Visual",""
"voice_note","VOICE_NOTE","one","Sprachnotiz","Voice memo",""
"voice_note_available","VOICE_NOTE_AVAILABLE","one","Sprachnotiz vorhanden","Voice memo available",""
"voice_note_title","VOICE_NOTE_TITLE","one","Sprachnotiz","Voice memo",""
"weather_cloudy","WEATHER_CLOUDY","one","Bewölkt","Cloudy",""
"weather_dry","PREINSP_WEATHER_DRY","shared","Trocken","Dry","PREINSP_WEATHER_DRY"
"weather_fetch_error","WEATHER_FETCH_ERROR","one","Wetter konnte nicht abgerufen werden","Could not fetch weather",""
"weather_fog","WEATHER_FOG","one","Nebel","Fog",""
"weather_heavy_rain","WEATHER_HEAVY_RAIN","one","Starker Regen","Heavy Rain",""
"weather_light_rain","WEATHER_LIGHT_RAIN","one","Leichter Regen","Light Rain",""
"weather_partly_cloudy","WEATHER_PARTLY_CLOUDY","one","Leicht bewölkt","Partly Cloudy",""
"weather_presets","WEATHER_PRESETS","one","Wetter-Voreinstellungen","Weather presets",""
"weather_rain","PREINSP_WEATHER_RAIN","shared","Regen","Rain","PREINSP_WEATHER_RAIN"
"weather_snow","PREINSP_WEATHER_SNOW","shared","Schnee","Snow","PREINSP_WEATHER_SNOW"
"weather_sunny","WEATHER_SUNNY","one","Sonnig","Sunny",""
"weather_thunderstorm","WEATHER_THUNDERSTORM","one","Gewitter","Thunderstorm",""
"weather_windy","WEATHER_WINDY","one","Windig","Windy",""
"wifi_connect_hint","WIFI_CONNECT_HINT","one","Bitte mit ONE_01 WLAN verbinden","Please connect to ONE_01 WiFi",""
"wifi_not_connected","WIFI_NOT_CONNECTED","one","Nicht mit WiFi verbunden","Not connected to WiFi",""
"wifi_status","WIFI_STATUS","one","WiFi Status","WiFi status",""
"with_overlay","WITH_OVERLAY","one","Mit Einblendung","With fade-in",""
"without_overlay","WITHOUT_OVERLAY","one","Ohne Einblendung","Without fade-in",""
"zip_export","ZIP_EXPORT","one","ZIP Export","ZIP Export",""
